"industry","gender","condition","age","time_code","volume","ratio"
"全産業","総数","完全失業者","15歳以上","1970-08",590000,1.1
"全産業","総数","完全失業者","15歳以上","1970-09",620000,1.2
"全産業","総数","完全失業者","15歳以上","1970-10",610000,1.2
"全産業","総数","完全失業者","15歳以上","1970-11",560000,1.1
"全産業","総数","完全失業者","15歳以上","1970-12",540000,1.1
"全産業","総数","完全失業者","15歳以上","1971-01",660000,1.3
"全産業","総数","完全失業者","15歳以上","1971-02",720000,1.4
"全産業","総数","完全失業者","15歳以上","1971-03",800000,1.5
"全産業","総数","完全失業者","15歳以上","1971-04",680000,1.3
"全産業","総数","完全失業者","15歳以上","1971-05",600000,1.1
"全産業","総数","完全失業者","15歳以上","1971-06",570000,1.1
"全産業","総数","完全失業者","15歳以上","1971-07",600000,1.1
"全産業","総数","完全失業者","15歳以上","1971-08",640000,1.2
"全産業","総数","完全失業者","15歳以上","1971-09",570000,1.1
"全産業","総数","完全失業者","15歳以上","1971-10",590000,1.1
"全産業","総数","完全失業者","15歳以上","1971-11",600000,1.2
"全産業","総数","完全失業者","15歳以上","1971-12",640000,1.3
"全産業","総数","完全失業者","15歳以上","1972-01",850000,1.7
"全産業","総数","完全失業者","15歳以上","1972-02",840000,1.7
"全産業","総数","完全失業者","15歳以上","1972-03",930000,1.8
"全産業","総数","完全失業者","15歳以上","1972-04",780000,1.5
"全産業","総数","完全失業者","15歳以上","1972-05",690000,1.3
"全産業","総数","完全失業者","15歳以上","1972-06",640000,1.2
"全産業","総数","完全失業者","15歳以上","1972-07",670000,1.3
"全産業","総数","完全失業者","15歳以上","1972-08",700000,1.3
"全産業","総数","完全失業者","15歳以上","1972-09",770000,1.5
"全産業","総数","完全失業者","15歳以上","1972-10",640000,1.2
"全産業","総数","完全失業者","15歳以上","1972-11",630000,1.2
"全産業","総数","完全失業者","15歳以上","1972-12",660000,1.3
"全産業","総数","完全失業者","15歳以上","1973-01",800000,1.5
"全産業","総数","完全失業者","15歳以上","1973-02",780000,1.5
"全産業","総数","完全失業者","15歳以上","1973-03",820000,1.6
"全産業","総数","完全失業者","15歳以上","1973-04",750000,1.4
"全産業","総数","完全失業者","15歳以上","1973-05",690000,1.3
"全産業","総数","完全失業者","15歳以上","1973-06",680000,1.3
"全産業","総数","完全失業者","15歳以上","1973-07",630000,1.2
"全産業","総数","完全失業者","15歳以上","1973-08",610000,1.1
"全産業","総数","完全失業者","15歳以上","1973-09",640000,1.2
"全産業","総数","完全失業者","15歳以上","1973-10",540000,1
"全産業","総数","完全失業者","15歳以上","1973-11",560000,1
"全産業","総数","完全失業者","15歳以上","1973-12",550000,1.1
"全産業","総数","完全失業者","15歳以上","1974-01",740000,1.4
"全産業","総数","完全失業者","15歳以上","1974-02",840000,1.6
"全産業","総数","完全失業者","15歳以上","1974-03",910000,1.7
"全産業","総数","完全失業者","15歳以上","1974-04",700000,1.3
"全産業","総数","完全失業者","15歳以上","1974-05",640000,1.2
"全産業","総数","完全失業者","15歳以上","1974-06",630000,1.2
"全産業","総数","完全失業者","15歳以上","1974-07",610000,1.1
"全産業","総数","完全失業者","15歳以上","1974-08",750000,1.4
"全産業","総数","完全失業者","15歳以上","1974-09",700000,1.3
"全産業","総数","完全失業者","15歳以上","1974-10",760000,1.4
"全産業","総数","完全失業者","15歳以上","1974-11",710000,1.3
"全産業","総数","完全失業者","15歳以上","1974-12",840000,1.6
"全産業","総数","完全失業者","15歳以上","1975-01",1000000,2
"全産業","総数","完全失業者","15歳以上","1975-02",1090000,2.1
"全産業","総数","完全失業者","15歳以上","1975-03",1130000,2.2
"全産業","総数","完全失業者","15歳以上","1975-04",990000,1.9
"全産業","総数","完全失業者","15歳以上","1975-05",920000,1.7
"全産業","総数","完全失業者","15歳以上","1975-06",930000,1.7
"全産業","総数","完全失業者","15歳以上","1975-07",880000,1.6
"全産業","総数","完全失業者","15歳以上","1975-08",950000,1.8
"全産業","総数","完全失業者","15歳以上","1975-09",1000000,1.9
"全産業","総数","完全失業者","15歳以上","1975-10",1040000,1.9
"全産業","総数","完全失業者","15歳以上","1975-11",990000,1.9
"全産業","総数","完全失業者","15歳以上","1975-12",1060000,2
"全産業","総数","完全失業者","15歳以上","1976-01",1250000,2.4
"全産業","総数","完全失業者","15歳以上","1976-02",1260000,2.4
"全産業","総数","完全失業者","15歳以上","1976-03",1260000,2.4
"全産業","総数","完全失業者","15歳以上","1976-04",1140000,2.1
"全産業","総数","完全失業者","15歳以上","1976-05",1070000,2
"全産業","総数","完全失業者","15歳以上","1976-06",1040000,1.9
"全産業","総数","完全失業者","15歳以上","1976-07",990000,1.8
"全産業","総数","完全失業者","15歳以上","1976-08",1030000,1.9
"全産業","総数","完全失業者","15歳以上","1976-09",1010000,1.9
"全産業","総数","完全失業者","15歳以上","1976-10",1000000,1.8
"全産業","総数","完全失業者","15歳以上","1976-11",970000,1.8
"全産業","総数","完全失業者","15歳以上","1976-12",920000,1.7
"全産業","総数","完全失業者","15歳以上","1977-01",1140000,2.2
"全産業","総数","完全失業者","15歳以上","1977-02",1220000,2.3
"全産業","総数","完全失業者","15歳以上","1977-03",1270000,2.4
"全産業","総数","完全失業者","15歳以上","1977-04",1060000,1.9
"全産業","総数","完全失業者","15歳以上","1977-05",1090000,2
"全産業","総数","完全失業者","15歳以上","1977-06",1110000,2
"全産業","総数","完全失業者","15歳以上","1977-07",1050000,1.9
"全産業","総数","完全失業者","15歳以上","1977-08",1060000,1.9
"全産業","総数","完全失業者","15歳以上","1977-09",1050000,1.9
"全産業","総数","完全失業者","15歳以上","1977-10",1000000,1.8
"全産業","総数","完全失業者","15歳以上","1977-11",1030000,1.9
"全産業","総数","完全失業者","15歳以上","1977-12",1110000,2.1
"全産業","総数","完全失業者","15歳以上","1978-01",1260000,2.4
"全産業","総数","完全失業者","15歳以上","1978-02",1360000,2.5
"全産業","総数","完全失業者","15歳以上","1978-03",1410000,2.6
"全産業","総数","完全失業者","15歳以上","1978-04",1230000,2.2
"全産業","総数","完全失業者","15歳以上","1978-05",1230000,2.2
"全産業","総数","完全失業者","15歳以上","1978-06",1260000,2.2
"全産業","総数","完全失業者","15歳以上","1978-07",1150000,2.1
"全産業","総数","完全失業者","15歳以上","1978-08",1210000,2.2
"全産業","総数","完全失業者","15歳以上","1978-09",1250000,2.2
"全産業","総数","完全失業者","15歳以上","1978-10",1170000,2.1
"全産業","総数","完全失業者","15歳以上","1978-11",1160000,2.1
"全産業","総数","完全失業者","15歳以上","1978-12",1160000,2.1
"全産業","総数","完全失業者","15歳以上","1979-01",1270000,2.3
"全産業","総数","完全失業者","15歳以上","1979-02",1210000,2.2
"全産業","総数","完全失業者","15歳以上","1979-03",1350000,2.5
"全産業","総数","完全失業者","15歳以上","1979-04",1240000,2.2
"全産業","総数","完全失業者","15歳以上","1979-05",1110000,2
"全産業","総数","完全失業者","15歳以上","1979-06",1110000,1.9
"全産業","総数","完全失業者","15歳以上","1979-07",1160000,2
"全産業","総数","完全失業者","15歳以上","1979-08",1180000,2.1
"全産業","総数","完全失業者","15歳以上","1979-09",1080000,1.9
"全産業","総数","完全失業者","15歳以上","1979-10",1110000,2
"全産業","総数","完全失業者","15歳以上","1979-11",1110000,2
"全産業","総数","完全失業者","15歳以上","1979-12",1070000,1.9
"全産業","総数","完全失業者","15歳以上","1980-01",1130000,2.1
"全産業","総数","完全失業者","15歳以上","1980-02",1110000,2
"全産業","総数","完全失業者","15歳以上","1980-03",1240000,2.2
"全産業","総数","完全失業者","15歳以上","1980-04",1180000,2.1
"全産業","総数","完全失業者","15歳以上","1980-05",1090000,1.9
"全産業","総数","完全失業者","15歳以上","1980-06",1050000,1.8
"全産業","総数","完全失業者","15歳以上","1980-07",1120000,1.9
"全産業","総数","完全失業者","15歳以上","1980-08",1150000,2
"全産業","総数","完全失業者","15歳以上","1980-09",1090000,1.9
"全産業","総数","完全失業者","15歳以上","1980-10",1130000,2
"全産業","総数","完全失業者","15歳以上","1980-11",1210000,2.1
"全産業","総数","完全失業者","15歳以上","1980-12",1180000,2.1
"全産業","総数","完全失業者","15歳以上","1981-01",1230000,2.2
"全産業","総数","完全失業者","15歳以上","1981-02",1350000,2.4
"全産業","総数","完全失業者","15歳以上","1981-03",1420000,2.5
"全産業","総数","完全失業者","15歳以上","1981-04",1370000,2.4
"全産業","総数","完全失業者","15歳以上","1981-05",1320000,2.3
"全産業","総数","完全失業者","15歳以上","1981-06",1260000,2.2
"全産業","総数","完全失業者","15歳以上","1981-07",1210000,2.1
"全産業","総数","完全失業者","15歳以上","1981-08",1150000,2
"全産業","総数","完全失業者","15歳以上","1981-09",1200000,2.1
"全産業","総数","完全失業者","15歳以上","1981-10",1220000,2.1
"全産業","総数","完全失業者","15歳以上","1981-11",1190000,2.1
"全産業","総数","完全失業者","15歳以上","1981-12",1190000,2.1
"全産業","総数","完全失業者","15歳以上","1982-01",1310000,2.3
"全産業","総数","完全失業者","15歳以上","1982-02",1350000,2.4
"全産業","総数","完全失業者","15歳以上","1982-03",1470000,2.6
"全産業","総数","完全失業者","15歳以上","1982-04",1430000,2.5
"全産業","総数","完全失業者","15歳以上","1982-05",1340000,2.3
"全産業","総数","完全失業者","15歳以上","1982-06",1370000,2.3
"全産業","総数","完全失業者","15歳以上","1982-07",1320000,2.3
"全産業","総数","完全失業者","15歳以上","1982-08",1300000,2.2
"全産業","総数","完全失業者","15歳以上","1982-09",1340000,2.3
"全産業","総数","完全失業者","15歳以上","1982-10",1390000,2.4
"全産業","総数","完全失業者","15歳以上","1982-11",1340000,2.3
"全産業","総数","完全失業者","15歳以上","1982-12",1350000,2.3
"全産業","総数","完全失業者","15歳以上","1983-01",1620000,2.8
"全産業","総数","完全失業者","15歳以上","1983-02",1650000,2.9
"全産業","総数","完全失業者","15歳以上","1983-03",1720000,3
"全産業","総数","完全失業者","15歳以上","1983-04",1700000,2.9
"全産業","総数","完全失業者","15歳以上","1983-05",1580000,2.6
"全産業","総数","完全失業者","15歳以上","1983-06",1480000,2.5
"全産業","総数","完全失業者","15歳以上","1983-07",1440000,2.4
"全産業","総数","完全失業者","15歳以上","1983-08",1580000,2.7
"全産業","総数","完全失業者","15歳以上","1983-09",1570000,2.6
"全産業","総数","完全失業者","15歳以上","1983-10",1490000,2.5
"全産業","総数","完全失業者","15歳以上","1983-11",1470000,2.5
"全産業","総数","完全失業者","15歳以上","1983-12",1430000,2.5
"全産業","総数","完全失業者","15歳以上","1984-01",1650000,2.9
"全産業","総数","完全失業者","15歳以上","1984-02",1710000,3
"全産業","総数","完全失業者","15歳以上","1984-03",1780000,3.1
"全産業","総数","完全失業者","15歳以上","1984-04",1680000,2.8
"全産業","総数","完全失業者","15歳以上","1984-05",1600000,2.7
"全産業","総数","完全失業者","15歳以上","1984-06",1630000,2.7
"全産業","総数","完全失業者","15歳以上","1984-07",1570000,2.6
"全産業","総数","完全失業者","15歳以上","1984-08",1570000,2.6
"全産業","総数","完全失業者","15歳以上","1984-09",1590000,2.6
"全産業","総数","完全失業者","15歳以上","1984-10",1590000,2.6
"全産業","総数","完全失業者","15歳以上","1984-11",1510000,2.5
"全産業","総数","完全失業者","15歳以上","1984-12",1420000,2.4
"全産業","総数","完全失業者","15歳以上","1985-01",1520000,2.6
"全産業","総数","完全失業者","15歳以上","1985-02",1640000,2.8
"全産業","総数","完全失業者","15歳以上","1985-03",1740000,3
"全産業","総数","完全失業者","15歳以上","1985-04",1570000,2.6
"全産業","総数","完全失業者","15歳以上","1985-05",1530000,2.5
"全産業","総数","完全失業者","15歳以上","1985-06",1530000,2.5
"全産業","総数","完全失業者","15歳以上","1985-07",1450000,2.4
"全産業","総数","完全失業者","15歳以上","1985-08",1480000,2.5
"全産業","総数","完全失業者","15歳以上","1985-09",1580000,2.6
"全産業","総数","完全失業者","15歳以上","1985-10",1590000,2.6
"全産業","総数","完全失業者","15歳以上","1985-11",1590000,2.7
"全産業","総数","完全失業者","15歳以上","1985-12",1540000,2.6
"全産業","総数","完全失業者","15歳以上","1986-01",1650000,2.8
"全産業","総数","完全失業者","15歳以上","1986-02",1640000,2.8
"全産業","総数","完全失業者","15歳以上","1986-03",1830000,3.1
"全産業","総数","完全失業者","15歳以上","1986-04",1820000,3
"全産業","総数","完全失業者","15歳以上","1986-05",1620000,2.7
"全産業","総数","完全失業者","15歳以上","1986-06",1610000,2.6
"全産業","総数","完全失業者","15歳以上","1986-07",1670000,2.7
"全産業","総数","完全失業者","15歳以上","1986-08",1690000,2.8
"全産業","総数","完全失業者","15歳以上","1986-09",1670000,2.7
"全産業","総数","完全失業者","15歳以上","1986-10",1610000,2.6
"全産業","総数","完全失業者","15歳以上","1986-11",1590000,2.6
"全産業","総数","完全失業者","15歳以上","1986-12",1610000,2.7
"全産業","総数","完全失業者","15歳以上","1987-01",1820000,3.1
"全産業","総数","完全失業者","15歳以上","1987-02",1860000,3.2
"全産業","総数","完全失業者","15歳以上","1987-03",1940000,3.2
"全産業","総数","完全失業者","15歳以上","1987-04",1900000,3.1
"全産業","総数","完全失業者","15歳以上","1987-05",1910000,3.1
"全産業","総数","完全失業者","15歳以上","1987-06",1760000,2.9
"全産業","総数","完全失業者","15歳以上","1987-07",1590000,2.6
"全産業","総数","完全失業者","15歳以上","1987-08",1660000,2.7
"全産業","総数","完全失業者","15歳以上","1987-09",1660000,2.7
"全産業","総数","完全失業者","15歳以上","1987-10",1620000,2.6
"全産業","総数","完全失業者","15歳以上","1987-11",1560000,2.5
"全産業","総数","完全失業者","15歳以上","1987-12",1500000,2.5
"全産業","総数","完全失業者","15歳以上","1988-01",1680000,2.8
"全産業","総数","完全失業者","15歳以上","1988-02",1730000,2.9
"全産業","総数","完全失業者","15歳以上","1988-03",1800000,3
"全産業","総数","完全失業者","15歳以上","1988-04",1660000,2.7
"全産業","総数","完全失業者","15歳以上","1988-05",1560000,2.5
"全産業","総数","完全失業者","15歳以上","1988-06",1440000,2.3
"全産業","総数","完全失業者","15歳以上","1988-07",1480000,2.4
"全産業","総数","完全失業者","15歳以上","1988-08",1570000,2.5
"全産業","総数","完全失業者","15歳以上","1988-09",1510000,2.4
"全産業","総数","完全失業者","15歳以上","1988-10",1460000,2.4
"全産業","総数","完全失業者","15歳以上","1988-11",1410000,2.3
"全産業","総数","完全失業者","15歳以上","1988-12",1340000,2.2
"全産業","総数","完全失業者","15歳以上","1989-01",1460000,2.4
"全産業","総数","完全失業者","15歳以上","1989-02",1510000,2.5
"全産業","総数","完全失業者","15歳以上","1989-03",1630000,2.6
"全産業","総数","完全失業者","15歳以上","1989-04",1560000,2.5
"全産業","総数","完全失業者","15歳以上","1989-05",1500000,2.4
"全産業","総数","完全失業者","15歳以上","1989-06",1340000,2.1
"全産業","総数","完全失業者","15歳以上","1989-07",1320000,2.1
"全産業","総数","完全失業者","15歳以上","1989-08",1400000,2.2
"全産業","総数","完全失業者","15歳以上","1989-09",1380000,2.2
"全産業","総数","完全失業者","15歳以上","1989-10",1370000,2.2
"全産業","総数","完全失業者","15歳以上","1989-11",1330000,2.1
"全産業","総数","完全失業者","15歳以上","1989-12",1220000,1.9
"全産業","総数","完全失業者","15歳以上","1990-01",1410000,2.3
"全産業","総数","完全失業者","15歳以上","1990-02",1420000,2.3
"全産業","総数","完全失業者","15歳以上","1990-03",1410000,2.2
"全産業","総数","完全失業者","15歳以上","1990-04",1410000,2.2
"全産業","総数","完全失業者","15歳以上","1990-05",1360000,2.1
"全産業","総数","完全失業者","15歳以上","1990-06",1320000,2
"全産業","総数","完全失業者","15歳以上","1990-07",1260000,2
"全産業","総数","完全失業者","15歳以上","1990-08",1300000,2
"全産業","総数","完全失業者","15歳以上","1990-09",1380000,2.1
"全産業","総数","完全失業者","15歳以上","1990-10",1390000,2.2
"全産業","総数","完全失業者","15歳以上","1990-11",1260000,2
"全産業","総数","完全失業者","15歳以上","1990-12",1190000,1.9
"全産業","総数","完全失業者","15歳以上","1991-01",1330000,2.1
"全産業","総数","完全失業者","15歳以上","1991-02",1360000,2.2
"全産業","総数","完全失業者","15歳以上","1991-03",1540000,2.4
"全産業","総数","完全失業者","15歳以上","1991-04",1450000,2.2
"全産業","総数","完全失業者","15歳以上","1991-05",1360000,2.1
"全産業","総数","完全失業者","15歳以上","1991-06",1320000,2
"全産業","総数","完全失業者","15歳以上","1991-07",1330000,2
"全産業","総数","完全失業者","15歳以上","1991-08",1390000,2.1
"全産業","総数","完全失業者","15歳以上","1991-09",1410000,2.1
"全産業","総数","完全失業者","15歳以上","1991-10",1320000,2
"全産業","総数","完全失業者","15歳以上","1991-11",1310000,2
"全産業","総数","完全失業者","15歳以上","1991-12",1270000,2
"全産業","総数","完全失業者","15歳以上","1992-01",1410000,2.2
"全産業","総数","完全失業者","15歳以上","1992-02",1370000,2.1
"全産業","総数","完全失業者","15歳以上","1992-03",1510000,2.3
"全産業","総数","完全失業者","15歳以上","1992-04",1410000,2.1
"全産業","総数","完全失業者","15歳以上","1992-05",1420000,2.1
"全産業","総数","完全失業者","15歳以上","1992-06",1330000,2
"全産業","総数","完全失業者","15歳以上","1992-07",1340000,2
"全産業","総数","完全失業者","15歳以上","1992-08",1440000,2.2
"全産業","総数","完全失業者","15歳以上","1992-09",1470000,2.2
"全産業","総数","完全失業者","15歳以上","1992-10",1450000,2.2
"全産業","総数","完全失業者","15歳以上","1992-11",1460000,2.2
"全産業","総数","完全失業者","15歳以上","1992-12",1440000,2.2
"全産業","総数","完全失業者","15歳以上","1993-01",1520000,2.4
"全産業","総数","完全失業者","15歳以上","1993-02",1570000,2.4
"全産業","総数","完全失業者","15歳以上","1993-03",1680000,2.6
"全産業","総数","完全失業者","15歳以上","1993-04",1570000,2.4
"全産業","総数","完全失業者","15歳以上","1993-05",1690000,2.5
"全産業","総数","完全失業者","15歳以上","1993-06",1590000,2.4
"全産業","総数","完全失業者","15歳以上","1993-07",1590000,2.4
"全産業","総数","完全失業者","15歳以上","1993-08",1670000,2.5
"全産業","総数","完全失業者","15歳以上","1993-09",1720000,2.6
"全産業","総数","完全失業者","15歳以上","1993-10",1760000,2.6
"全産業","総数","完全失業者","15歳以上","1993-11",1760000,2.6
"全産業","総数","完全失業者","15歳以上","1993-12",1750000,2.6
"全産業","総数","完全失業者","15歳以上","1994-01",1840000,2.8
"全産業","総数","完全失業者","15歳以上","1994-02",1940000,3
"全産業","総数","完全失業者","15歳以上","1994-03",2080000,3.2
"全産業","総数","完全失業者","15歳以上","1994-04",1940000,2.9
"全産業","総数","完全失業者","15歳以上","1994-05",1910000,2.8
"全産業","総数","完全失業者","15歳以上","1994-06",1830000,2.7
"全産業","総数","完全失業者","15歳以上","1994-07",1880000,2.8
"全産業","総数","完全失業者","15歳以上","1994-08",2000000,3
"全産業","総数","完全失業者","15歳以上","1994-09",2010000,3
"全産業","総数","完全失業者","15歳以上","1994-10",1990000,3
"全産業","総数","完全失業者","15歳以上","1994-11",1850000,2.8
"全産業","総数","完全失業者","15歳以上","1994-12",1770000,2.7
"全産業","総数","完全失業者","15歳以上","1995-01",1960000,3
"全産業","総数","完全失業者","15歳以上","1995-02",1990000,3.1
"全産業","総数","完全失業者","15歳以上","1995-03",2190000,3.3
"全産業","総数","完全失業者","15歳以上","1995-04",2140000,3.2
"全産業","総数","完全失業者","15歳以上","1995-05",2080000,3.1
"全産業","総数","完全失業者","15歳以上","1995-06",2020000,3
"全産業","総数","完全失業者","15歳以上","1995-07",2020000,3
"全産業","総数","完全失業者","15歳以上","1995-08",2160000,3.2
"全産業","総数","完全失業者","15歳以上","1995-09",2190000,3.2
"全産業","総数","完全失業者","15歳以上","1995-10",2140000,3.2
"全産業","総数","完全失業者","15歳以上","1995-11",2180000,3.3
"全産業","総数","完全失業者","15歳以上","1995-12",2110000,3.2
"全産業","総数","完全失業者","15歳以上","1996-01",2300000,3.5
"全産業","総数","完全失業者","15歳以上","1996-02",2240000,3.4
"全産業","総数","完全失業者","15歳以上","1996-03",2290000,3.5
"全産業","総数","完全失業者","15歳以上","1996-04",2350000,3.5
"全産業","総数","完全失業者","15歳以上","1996-05",2400000,3.5
"全産業","総数","完全失業者","15歳以上","1996-06",2260000,3.3
"全産業","総数","完全失業者","15歳以上","1996-07",2210000,3.2
"全産業","総数","完全失業者","15歳以上","1996-08",2240000,3.3
"全産業","総数","完全失業者","15歳以上","1996-09",2240000,3.3
"全産業","総数","完全失業者","15歳以上","1996-10",2270000,3.4
"全産業","総数","完全失業者","15歳以上","1996-11",2120000,3.2
"全産業","総数","完全失業者","15歳以上","1996-12",2080000,3.1
"全産業","総数","完全失業者","15歳以上","1997-01",2220000,3.3
"全産業","総数","完全失業者","15歳以上","1997-02",2300000,3.5
"全産業","総数","完全失業者","15歳以上","1997-03",2340000,3.5
"全産業","総数","完全失業者","15歳以上","1997-04",2310000,3.4
"全産業","総数","完全失業者","15歳以上","1997-05",2440000,3.5
"全産業","総数","完全失業者","15歳以上","1997-06",2290000,3.3
"全産業","総数","完全失業者","15歳以上","1997-07",2240000,3.3
"全産業","総数","完全失業者","15歳以上","1997-08",2310000,3.4
"全産業","総数","完全失業者","15歳以上","1997-09",2360000,3.5
"全産業","総数","完全失業者","15歳以上","1997-10",2360000,3.5
"全産業","総数","完全失業者","15歳以上","1997-11",2280000,3.4
"全産業","総数","完全失業者","15歳以上","1997-12",2180000,3.2
"全産業","総数","完全失業者","15歳以上","1998-01",2380000,3.6
"全産業","総数","完全失業者","15歳以上","1998-02",2460000,3.7
"全産業","総数","完全失業者","15歳以上","1998-03",2770000,4.1
"全産業","総数","完全失業者","15歳以上","1998-04",2900000,4.3
"全産業","総数","完全失業者","15歳以上","1998-05",2930000,4.3
"全産業","総数","完全失業者","15歳以上","1998-06",2840000,4.1
"全産業","総数","完全失業者","15歳以上","1998-07",2700000,3.9
"全産業","総数","完全失業者","15歳以上","1998-08",2970000,4.3
"全産業","総数","完全失業者","15歳以上","1998-09",2950000,4.3
"全産業","総数","完全失業者","15歳以上","1998-10",2900000,4.3
"全産業","総数","完全失業者","15歳以上","1998-11",2910000,4.3
"全産業","総数","完全失業者","15歳以上","1998-12",2730000,4.1
"全産業","総数","完全失業者","15歳以上","1999-01",2980000,4.5
"全産業","総数","完全失業者","15歳以上","1999-02",3130000,4.7
"全産業","総数","完全失業者","15歳以上","1999-03",3390000,5
"全産業","総数","完全失業者","15歳以上","1999-04",3420000,5
"全産業","総数","完全失業者","15歳以上","1999-05",3340000,4.9
"全産業","総数","完全失業者","15歳以上","1999-06",3290000,4.8
"全産業","総数","完全失業者","15歳以上","1999-07",3190000,4.7
"全産業","総数","完全失業者","15歳以上","1999-08",3200000,4.7
"全産業","総数","完全失業者","15歳以上","1999-09",3170000,4.6
"全産業","総数","完全失業者","15歳以上","1999-10",3110000,4.6
"全産業","総数","完全失業者","15歳以上","1999-11",2950000,4.4
"全産業","総数","完全失業者","15歳以上","1999-12",2880000,4.3
"全産業","総数","完全失業者","15歳以上","2000-01",3090000,4.6
"全産業","総数","完全失業者","15歳以上","2000-02",3270000,4.9
"全産業","総数","完全失業者","15歳以上","2000-03",3490000,5.2
"全産業","総数","完全失業者","15歳以上","2000-04",3460000,5.1
"全産業","総数","完全失業者","15歳以上","2000-05",3280000,4.8
"全産業","総数","完全失業者","15歳以上","2000-06",3210000,4.7
"全産業","総数","完全失業者","15歳以上","2000-07",3070000,4.5
"全産業","総数","完全失業者","15歳以上","2000-08",3100000,4.6
"全産業","総数","完全失業者","15歳以上","2000-09",3200000,4.7
"全産業","総数","完全失業者","15歳以上","2000-10",3140000,4.6
"全産業","総数","完全失業者","15歳以上","2000-11",3090000,4.5
"全産業","総数","完全失業者","15歳以上","2000-12",2980000,4.4
"全産業","総数","完全失業者","15歳以上","2001-01",3170000,4.7
"全産業","総数","完全失業者","15歳以上","2001-02",3180000,4.8
"全産業","総数","完全失業者","15歳以上","2001-03",3430000,5.1
"全産業","総数","完全失業者","15歳以上","2001-04",3480000,5.1
"全産業","総数","完全失業者","15歳以上","2001-05",3480000,5.1
"全産業","総数","完全失業者","15歳以上","2001-06",3380000,5
"全産業","総数","完全失業者","15歳以上","2001-07",3300000,4.9
"全産業","総数","完全失業者","15歳以上","2001-08",3360000,5
"全産業","総数","完全失業者","15歳以上","2001-09",3570000,5.3
"全産業","総数","完全失業者","15歳以上","2001-10",3520000,5.2
"全産業","総数","完全失業者","15歳以上","2001-11",3500000,5.2
"全産業","総数","完全失業者","15歳以上","2001-12",3370000,5
"全産業","総数","完全失業者","15歳以上","2002-01",3440000,5.2
"全産業","総数","完全失業者","15歳以上","2002-02",3560000,5.4
"全産業","総数","完全失業者","15歳以上","2002-03",3790000,5.7
"全産業","総数","完全失業者","15歳以上","2002-04",3750000,5.6
"全産業","総数","完全失業者","15歳以上","2002-05",3750000,5.6
"全産業","総数","完全失業者","15歳以上","2002-06",3680000,5.5
"全産業","総数","完全失業者","15歳以上","2002-07",3520000,5.2
"全産業","総数","完全失業者","15歳以上","2002-08",3610000,5.4
"全産業","総数","完全失業者","15歳以上","2002-09",3650000,5.4
"全産業","総数","完全失業者","15歳以上","2002-10",3620000,5.4
"全産業","総数","完全失業者","15歳以上","2002-11",3380000,5.1
"全産業","総数","完全失業者","15歳以上","2002-12",3310000,5
"全産業","総数","完全失業者","15歳以上","2003-01",3570000,5.4
"全産業","総数","完全失業者","15歳以上","2003-02",3490000,5.3
"全産業","総数","完全失業者","15歳以上","2003-03",3840000,5.8
"全産業","総数","完全失業者","15歳以上","2003-04",3850000,5.8
"全産業","総数","完全失業者","15歳以上","2003-05",3750000,5.6
"全産業","総数","完全失業者","15歳以上","2003-06",3610000,5.3
"全産業","総数","完全失業者","15歳以上","2003-07",3420000,5.1
"全産業","総数","完全失業者","15歳以上","2003-08",3330000,5
